Tiempo (seg), Entrada 25 (%), Temperatura 1 (°C)
1.899096047878265381e+02,3.000000000000000000e+01,6.109000000000000341e+01
1.909095978736877441e+02,3.000000000000000000e+01,6.124000000000000199e+01
1.919121224880218506e+02,3.000000000000000000e+01,6.125999999999999801e+01
1.929154775142669678e+02,3.000000000000000000e+01,6.153000000000000114e+01
1.939207081794738770e+02,3.000000000000000000e+01,6.160999999999999943e+01
1.949268293380737305e+02,3.000000000000000000e+01,6.178000000000000114e+01
1.959249422550201416e+02,3.000000000000000000e+01,6.178000000000000114e+01
1.969234733581542969e+02,3.000000000000000000e+01,6.214000000000000057e+01
1.979221453666687012e+02,3.000000000000000000e+01,6.221999999999999886e+01
1.989248130321502686e+02,3.000000000000000000e+01,6.227000000000000313e+01
1.999295289516448975e+02,3.000000000000000000e+01,6.260999999999999943e+01
2.009207057952880859e+02,3.000000000000000000e+01,6.260999999999999943e+01
2.019116239547729492e+02,3.000000000000000000e+01,6.275000000000000000e+01
2.029130940437316895e+02,3.000000000000000000e+01,6.302000000000000313e+01
2.039059422016143799e+02,3.000000000000000000e+01,6.317000000000000171e+01
2.049085114002227783e+02,3.000000000000000000e+01,6.324000000000000199e+01
2.059143595695495605e+02,3.000000000000000000e+01,6.332000000000000028e+01
2.069186799526214600e+02,3.000000000000000000e+01,6.356000000000000227e+01
2.079231119155883789e+02,3.000000000000000000e+01,6.365999999999999659e+01
2.089138824939727783e+02,3.000000000000000000e+01,6.363000000000000256e+01
2.099077482223510742e+02,3.000000000000000000e+01,6.375000000000000000e+01
2.109123628139495850e+02,3.000000000000000000e+01,6.401999999999999602e+01
2.119147081375122070e+02,3.000000000000000000e+01,6.412000000000000455e+01
2.129180939197540283e+02,3.000000000000000000e+01,6.418999999999999773e+01
2.139163453578948975e+02,3.000000000000000000e+01,6.423999999999999488e+01
2.149160852432250977e+02,3.000000000000000000e+01,6.439000000000000057e+01
2.159191429615020752e+02,3.000000000000000000e+01,6.462999999999999545e+01
2.169237248897552490e+02,3.000000000000000000e+01,6.462999999999999545e+01
2.179268097877502441e+02,3.000000000000000000e+01,6.470999999999999375e+01
2.189213008880615234e+02,3.000000000000000000e+01,6.501999999999999602e+01
2.199240000247955322e+02,3.000000000000000000e+01,6.512000000000000455e+01
2.209252369403839111e+02,3.000000000000000000e+01,6.520000000000000284e+01
2.219307055473327637e+02,3.000000000000000000e+01,6.534000000000000341e+01
2.229362230300903320e+02,3.000000000000000000e+01,6.551000000000000512e+01
2.239365677833557129e+02,3.000000000000000000e+01,6.559000000000000341e+01
2.249389894008636475e+02,3.000000000000000000e+01,6.565999999999999659e+01
2.259410948753356934e+02,3.000000000000000000e+01,6.582999999999999829e+01
2.269339435100555420e+02,3.000000000000000000e+01,6.600000000000000000e+01
2.279381065368652344e+02,3.000000000000000000e+01,6.606999999999999318e+01
2.289384636878967285e+02,3.000000000000000000e+01,6.617000000000000171e+01
2.299365606307983398e+02,3.000000000000000000e+01,6.617000000000000171e+01
2.309397978782653809e+02,3.000000000000000000e+01,6.659000000000000341e+01
2.319388458728790283e+02,3.000000000000000000e+01,6.659000000000000341e+01
2.329290778636932373e+02,3.000000000000000000e+01,6.665999999999999659e+01
2.339223008155822754e+02,3.000000000000000000e+01,6.685999999999999943e+01
2.349270694255828857e+02,3.000000000000000000e+01,6.703000000000000114e+01
2.359321689605712891e+02,3.000000000000000000e+01,6.707999999999999829e+01
2.369367997646331787e+02,3.000000000000000000e+01,6.715000000000000568e+01
2.379420652389526367e+02,3.000000000000000000e+01,6.725000000000000000e+01
2.389338953495025635e+02,3.000000000000000000e+01,6.754000000000000625e+01
2.399399225711822510e+02,3.000000000000000000e+01,6.754000000000000625e+01
2.409440867900848389e+02,3.000000000000000000e+01,6.764000000000000057e+01
2.419359714984893799e+02,3.000000000000000000e+01,6.785999999999999943e+01
2.429280693531036377e+02,3.000000000000000000e+01,6.798000000000000398e+01
2.439306993484497070e+02,3.000000000000000000e+01,6.809999999999999432e+01
2.449360766410827637e+02,3.000000000000000000e+01,6.812999999999999545e+01
2.459357826709747314e+02,3.000000000000000000e+01,6.843999999999999773e+01
2.469357709884643555e+02,3.000000000000000000e+01,6.842000000000000171e+01
2.479406943321228027e+02,3.000000000000000000e+01,6.859000000000000341e+01
2.489407265186309814e+02,3.000000000000000000e+01,6.860999999999999943e+01
2.499449770450592041e+02,3.000000000000000000e+01,6.893000000000000682e+01
2.509507617950439453e+02,3.000000000000000000e+01,6.904999999999999716e+01
2.519526860713958740e+02,3.000000000000000000e+01,6.909999999999999432e+01
2.529432673454284668e+02,3.000000000000000000e+01,6.915000000000000568e+01
2.539484546184539795e+02,3.000000000000000000e+01,6.948999999999999488e+01
2.549481034278869629e+02,3.000000000000000000e+01,6.942000000000000171e+01
2.559500906467437744e+02,3.000000000000000000e+01,6.956999999999999318e+01
2.569436411857604980e+02,3.000000000000000000e+01,6.965999999999999659e+01
2.579431061744689941e+02,3.000000000000000000e+01,6.998000000000000398e+01
2.589437935352325439e+02,3.000000000000000000e+01,7.000000000000000000e+01
2.599459445476531982e+02,3.000000000000000000e+01,7.004999999999999716e+01
2.609506366252899170e+02,3.000000000000000000e+01,7.007999999999999829e+01
2.619437885284423828e+02,3.000000000000000000e+01,7.029999999999999716e+01
2.629394452571868896e+02,3.000000000000000000e+01,7.046999999999999886e+01
2.639321732521057129e+02,3.000000000000000000e+01,7.042000000000000171e+01
2.649330453872680664e+02,3.000000000000000000e+01,7.054000000000000625e+01
2.659356889724731445e+02,3.000000000000000000e+01,7.056999999999999318e+01
2.669328024387359619e+02,3.000000000000000000e+01,7.073999999999999488e+01
2.679379012584686279e+02,3.000000000000000000e+01,7.093000000000000682e+01
2.689314935207366943e+02,3.000000000000000000e+01,7.103000000000000114e+01
2.699330923557281494e+02,3.000000000000000000e+01,7.103000000000000114e+01
2.709319832324981689e+02,3.000000000000000000e+01,7.107999999999999829e+01
2.719339416027069092e+02,3.000000000000000000e+01,7.126999999999999602e+01
2.729381062984466553e+02,3.000000000000000000e+01,7.142000000000000171e+01
2.739364855289459229e+02,3.000000000000000000e+01,7.146999999999999886e+01
2.749420258998870850e+02,3.000000000000000000e+01,7.154000000000000625e+01
2.759481005668640137e+02,3.000000000000000000e+01,7.154000000000000625e+01
